project,kind,value,note
bridgedb,repo,bridgedb/BridgeDb,
bridgedb,repo,bridgedb/bridgedbjs,
bridgedb,repo,bridgedb/docker,
bridgedb,package,bioconductor.org/BridgeDbR,
bridgedb,package,npmjs.org/bridgedb,
bridgedb,package,repo1.maven.org/org.bridgedb:org.bridgedb.bio,
bridgedb,docker,bigcatum/bridgedb,
bridgedb,rsd,bridgedb-java,
bridgedb,rsd,bridgedb-webservice,
bridgedb,rsd,bridgedbr,
bridgedb,paper,10.1186/1471-2105-11-5,"BridgeDb framework, BMC Bioinformatics 2010"
bridgedb,paper,10.12688/f1000research.4521.1,"BridgeDb app for Cytoscape, 2014"
wikipathways,repo,wikipathways/rWikiPathways,
wikipathways,repo,wikipathways/pywikipathways,
wikipathways,repo,wikipathways/pvjs,
wikipathways,repo,wikipathways/wikipathways-database,
wikipathways,package,bioconductor.org/rWikiPathways,
wikipathways,package,pypi.org/pywikipathways,
wikipathways,package,npmjs.org/@wikipathways/pvjs,
wikipathways,rsd,rwikipathways,
wikipathways,paper,10.1371/journal.pbio.0060184,"Pathway editing for the people, PLoS Biol 2008"
wikipathways,paper,10.1093/nar/gkr1074,NAR 2012
wikipathways,paper,10.1093/nar/gkv1024,NAR 2016
wikipathways,paper,10.1093/nar/gkx1064,NAR 2018
wikipathways,paper,10.1093/nar/gkaa1024,NAR 2021
wikipathways,paper,10.1093/nar/gkad960,NAR 2024
wikipathways,paper,10.1371/journal.pone.0006447,"Web services, PLoS ONE 2009"
pathvisio,repo,PathVisio/pathvisio,
pathvisio,rsd,pathvisio,
pathvisio,rsd,libgpml,
pathvisio,paper,10.1186/1471-2105-9-399,"PathVisio, BMC Bioinformatics 2008"
pathvisio,paper,10.1371/journal.pcbi.1004085,"PathVisio 3, PLoS Comput Biol 2015"
cdk,repo,cdk/cdk,
cdk,package,repo1.maven.org/org.openscience.cdk:cdk-bundle,
cdk,rsd,cdk,
cdk,paper,10.1021/ci025584y,"CDK, J Chem Inf Comput Sci 2003"
cdk,paper,10.2174/138161206777585274,"CDK recent developments, 2006"
cdk,paper,10.1186/s13321-017-0220-4,"CDK v2.0, J Cheminform 2017"
bacting,repo,egonw/bacting,
bacting,repo,blueobelisk/pybacting,
bacting,package,pypi.org/pybacting,
bacting,package,repo1.maven.org/io.github.egonw.bacting:managers-cheminfo,
bacting,rsd,bacting,
bacting,rsd,pybacting,
bacting,paper,10.21105/joss.02558,"Bacting, JOSS 2021"
arrayanalysis,repo,BiGCAT-UM/ArrayAnalysis,
arrayanalysis,rsd,arrayanalysis,
arrayanalysis,paper,10.1093/nar/gkt293,"ArrayAnalysis.org, NAR 2013"
arrayanalysis,paper,10.64898/2026.07.13.738193,"ArrayAnalysis, bioRxiv 2026"
r-odaf,repo,TGX-UM/R-ODAF-Shiny,
r-odaf,paper,10.1016/j.yrtph.2022.105143,"R-ODAF, Regul Toxicol Pharmacol 2022"
r-odaf,paper,10.1016/j.yrtph.2020.104621,"Towards an omics data analysis framework, 2020"
vhp,repo,VHP4Safety/virtual-human-platform,
vhp,docker,vhp4safety/virtual-human-platform,
vhp,rsd,virtual-human-platform,
vhp,paper,10.14573/altex.2407211,"The Virtual Human Platform, ALTEX 2024"
aopwiki-rdf,repo,marvinm2/AOPWikiRDF,
aopwiki-rdf,repo,marvinm2/AOP-Wiki-Snorql-UI,
aopwiki-rdf,repo,marvinm2/AOP-Wiki-RDF-dashboard,
aopwiki-rdf,paper,10.1089/aivt.2021.0010,"AOP-Wiki RDF, Appl In Vitro Toxicol 2022"
aopwiki-rdf,paper,10.14573/altex.2307131,"Why AOPs need to be FAIR, ALTEX 2023"
molaop,repo,marvinm2/molAOP-builder,
molaop,repo,marvinm2/molAOP-analyser,
molaop,paper,10.1101/2023.03.02.530766,"Molecular AOPs, bioRxiv 2023"
biodatafuse,repo,BioDataFuse/pyBiodatafuse,
biodatafuse,repo,BioDataFuse/biodatafuseUI,
biodatafuse,package,pypi.org/pybiodatafuse,
biodatafuse,paper,10.1093/bioinformatics/btag064,"pyBiodatafuse, Bioinformatics 2026"
biodatafuse,paper,10.37044/osf.io/mhsqp,"BioHackEU23 report, BioHackrXiv 2023"
sec2pri,repo,sec2pri/pysec2pri,
sec2pri,package,pypi.org/pysec2pri,
rdfsolve,repo,jmillanacosta/rdfsolve,
rdfsolve,package,pypi.org/rdfsolve,
blue-obelisk,repo,blueobelisk/euclid,
blue-obelisk,repo,blueobelisk/cmlxom,
blue-obelisk,repo,blueobelisk/iupac-names,
blue-obelisk,repo,blueobelisk/bodr,
blue-obelisk,paper,10.1186/1758-2946-3-37,"Open Data, Open Source and Open Standards in chemistry: The Blue Obelisk five years on"
blue-obelisk,paper,10.1021/ci050400b,"The Blue Obelisk - Interoperability in Chemical Informatics"
